timestamp,price,7d_ma,30d_ma,price_change
2024-10-09 01:05:29.873,2436.6586080810944,2439.924664756068,2435.8967306967947,-0.19687200942877237
2024-10-09 02:08:57.836,2458.969109605072,2444.1855427819464,2436.371969585834,0.9156186857685267
2024-10-09 03:09:30.292,2448.211977436284,2445.5731165922844,2436.6496235716577,-0.43746512010943706
2024-10-09 04:05:53.542,2442.2166100239524,2445.5595166490957,2436.290772387191,-0.2448875941947648
2024-10-09 05:00:39.059,2442.924241980069,2444.0546187878,2437.0643749042415,0.028974987444274625
2024-10-09 06:02:14.932,2449.953418196876,2445.771304991911,2437.7648867937655,0.2877361522725552
2024-10-09 07:10:17.855,2438.629376359901,2445.3661916690357,2437.816794340534,-0.4622145773412023
2024-10-09 08:07:51.927,2436.3227725494207,2445.318215164511,2437.7846479751547,-0.09458607498296079
2024-10-09 09:06:54.676,2434.032434819347,2441.755833052264,2437.547746501836,-0.09400797611380796
2024-10-09 10:02:57.670,2436.390348138402,2440.0670288668525,2437.4671908028263,0.09687271563534328
2024-10-09 11:12:09.781,2434.643223472928,2438.9851165024206,2437.517515316137,-0.07170955453869032
2024-10-09 12:10:45.924,2439.611413199621,2438.511855248071,2438.0185038720074,0.2040623315479495
2024-10-09 13:12:14.454,2423.10711573125,2434.676669181553,2437.6748280320307,-0.6765133733624085
2024-10-09 14:04:31.833,2428.429800805464,2433.2195869594902,2437.7860419095678,0.21966363103216313
2024-10-09 15:14:45.709,2444.628054370307,2434.406055791045,2438.461347890518,0.6670258106481253
2024-10-09 16:06:28.512,2456.029175172619,2437.5484472700846,2439.2206382601985,0.46637445651211973
2024-10-09 17:03:45.505,2432.2069730338417,2436.950822255147,2439.224034082092,-0.969947848323216
2024-10-09 18:04:30.142,2432.324402344249,2436.6195620939075,2439.0108951587117,0.004828096938669368
2024-10-09 19:05:46.616,2407.8982293862377,2432.0891072634236,2438.256048037231,-1.004231710805903
2024-10-09 20:02:34.285,2416.790961337721,2431.18679949292,2437.5001500680296,0.36931510821160973
2024-10-09 21:07:17.049,2358.441978986675,2421.188539233093,2434.8938540412532,-2.4143164752134405
2024-10-09 22:06:54.253,2371.950436768291,2410.8060224328046,2433.4492961381175,0.5727704095319863
2024-10-09 23:12:59.045,2368.7504613300134,2398.3376347410044,2431.056327083318,-0.1349090347198656
2024-10-10 00:08:14.322,2367.44636716528,2389.086119616924,2428.31271785021,-0.05505409649613213
2024-10-10 01:00:48.773,2372.732846689047,2380.5730402376093,2426.432380625714,0.22329880824700776
2024-10-10 02:12:18.435,2393.3698308730886,2378.497554735731,2424.9280762960198,0.8697559109041242
2024-10-10 03:01:05.480,2392.763574165084,2375.0650708539256,2423.276468447313,-0.02533067393866162
2024-10-10 04:09:55.367,2394.058391092245,2380.15312972615,2421.29646391675,0.05411386821254638
2024-10-10 05:04:47.393,2392.863597938768,2383.1407241790753,2419.794030022439,-0.04990660035371075
2024-10-10 06:02:35.706,2402.3307889843977,2387.937913843987,2418.489550667918,0.3956427375879201
2024-10-10 07:15:12.309,2403.4910284912125,2393.0871511762634,2417.3839646815886,0.048296409142944974
2024-10-10 08:13:22.440,2392.2250175869203,2395.8717470188167,2415.1591616143173,-0.46873530089124316
2024-10-10 09:15:40.339,2380.0464882380934,2393.9684123566744,2412.886978641044,-0.5090879519816904
2024-10-10 10:09:02.081,2389.546006129106,2393.508759780106,2411.131291844549,0.3991316109982712
2024-10-10 11:07:17.980,2393.443258901801,2393.4208837529,2409.48192574194,0.16309595055707948
2024-10-10 12:12:08.007,2403.682001068503,2394.9663699142907,2407.9395451709943,0.4277829494650165
2024-10-10 13:05:56.922,2385.578245993678,2392.5731494870447,2406.171174158787,-0.7531676430899359
2024-10-10 14:01:08.914,2387.335348826579,2390.26519524924,2404.5382600346925,0.07365521696265365
2024-10-10 15:12:46.719,2389.737069159094,2389.909774045265,2403.061747846017,0.10060255396024953
2024-10-10 16:04:26.813,2399.762903141237,2392.726404745714,2401.8408330127786,0.41953711609248323
2024-10-10 17:13:01.299,2374.154218654691,2390.5275779636545,2399.8245328521707,-1.0671339428168114
2024-10-10 18:11:01.491,2345.8107277155746,2383.722930651337,2396.6978433360355,-1.1938352915918382
2024-10-10 19:07:04.601,2354.346811919811,2376.675046487238,2394.405833208987,0.36388631458554865
2024-10-10 20:15:02.251,2369.642390635237,2374.3984957217463,2392.44625286998,0.6496739833734777
2024-10-10 21:05:40.881,2364.980076582297,2371.2048854011346,2389.7913202770465,-0.1967517998228474
2024-10-10 22:00:51.171,2374.952158866775,2369.0927553593747,2387.088753066852,0.4216560800329727
2024-10-10 23:06:05.926,2376.1026397853857,2365.7127177371103,2385.2186086252364,0.04844227763980413
2024-10-11 00:13:06.028,2383.5960821500107,2367.061555379299,2383.5943312854283,0.31536694750282646
2024-10-11 01:13:07.984,2381.626136704801,2372.1780423777595,2382.718594862714,-0.08264594240450229
2024-10-11 02:13:39.621,2401.64695586163,2378.935205798019,2382.213794680177,0.8406365234356006
2024-10-11 03:12:55.872,2405.229349753848,2384.0190571006783,2383.77337370575,0.14916405108895692
2024-10-11 04:01:50.141,2409.506852637403,2390.380025108551,2385.0252542347203,0.17784178810194007
2024-10-11 05:05:18.856,2407.433744535974,2395.0202516327217,2386.3146970082526,-0.08603868875326492
2024-10-11 06:12:16.616,2405.225158625896,2399.1806114670803,2387.5739900569397,-0.09174025723825974
2024-10-11 07:15:43.086,2412.7446137176835,2403.3446874053193,2388.9077156245608,0.31262998662808794
