time,open,high,low,close
2025-01-15 12:30:00,96733.0,96733.0,96512.0,96512.0
2025-01-15 13:00:00,96553.0,97003.0,96553.0,96860.0
2025-01-15 13:30:00,97019.0,97081.0,96942.0,97081.0
2025-01-15 14:00:00,97300.0,99056.0,97300.0,98757.0
2025-01-15 14:30:00,99009.0,99143.0,98854.0,99074.0
2025-01-15 15:00:00,98730.0,99309.0,98730.0,99309.0
2025-01-15 15:30:00,99507.0,99698.0,99206.0,99261.0
2025-01-15 16:00:00,99752.0,99752.0,99254.0,99336.0
2025-01-15 16:30:00,99020.0,99448.0,99020.0,99314.0
2025-01-15 17:00:00,99237.0,99254.0,98882.0,99000.0
2025-01-15 17:30:00,99060.0,99299.0,99060.0,99062.0
2025-01-15 18:00:00,99099.0,99257.0,98740.0,98740.0
2025-01-15 18:30:00,98587.0,99152.0,98587.0,99152.0
2025-01-15 19:00:00,99116.0,99362.0,99077.0,99362.0
2025-01-15 19:30:00,99424.0,99573.0,99355.0,99370.0
2025-01-15 20:00:00,99387.0,99772.0,99387.0,99772.0
2025-01-15 20:30:00,99896.0,100702.0,99752.0,100702.0
2025-01-15 21:00:00,100091.0,100153.0,99460.0,99698.0
2025-01-15 21:30:00,99552.0,99814.0,99552.0,99709.0
2025-01-15 22:00:00,99808.0,99808.0,99606.0,99691.0
2025-01-15 22:30:00,99683.0,99683.0,99586.0,99586.0
2025-01-15 23:00:00,99581.0,99798.0,99581.0,99728.0
2025-01-15 23:30:00,99733.0,99852.0,99677.0,99852.0
2025-01-16 00:00:00,100106.0,100332.0,99997.0,100313.0
2025-01-16 00:30:00,100555.0,100667.0,100138.0,100431.0
2025-01-16 01:00:00,100381.0,100381.0,99638.0,99711.0
2025-01-16 01:30:00,99873.0,100078.0,99873.0,99975.0
2025-01-16 02:00:00,99979.0,100140.0,99979.0,100109.0
2025-01-16 02:30:00,100071.0,100091.0,99897.0,99935.0
2025-01-16 03:00:00,99690.0,99851.0,99508.0,99508.0
2025-01-16 03:30:00,99631.0,99834.0,99506.0,99506.0
2025-01-16 04:00:00,99572.0,99572.0,99371.0,99440.0
2025-01-16 04:30:00,99545.0,99623.0,99545.0,99589.0
2025-01-16 05:00:00,99586.0,99660.0,99552.0,99582.0
2025-01-16 05:30:00,99587.0,99587.0,99374.0,99521.0
2025-01-16 06:00:00,99528.0,99569.0,99382.0,99382.0
2025-01-16 06:30:00,99369.0,99529.0,99369.0,99529.0
2025-01-16 07:00:00,99670.0,99806.0,99670.0,99765.0
2025-01-16 07:30:00,99807.0,99807.0,99707.0,99708.0
2025-01-16 08:00:00,99661.0,99746.0,99655.0,99746.0
2025-01-16 08:30:00,99740.0,99759.0,99380.0,99380.0
2025-01-16 09:00:00,99513.0,99513.0,98670.0,98708.0
2025-01-16 09:30:00,98969.0,98969.0,98714.0,98736.0
2025-01-16 10:00:00,98939.0,99262.0,98872.0,99256.0
2025-01-16 10:30:00,99119.0,99276.0,99119.0,99276.0
2025-01-16 11:00:00,99347.0,99372.0,99212.0,99257.0
2025-01-16 11:30:00,99176.0,99295.0,98721.0,98856.0
2025-01-16 12:00:00,99111.0,99248.0,98909.0,99248.0
2025-01-17 16:30:00,103993.0,104696.0,103993.0,104515.0
2025-01-17 17:00:00,104620.0,104997.0,104620.0,104997.0
2025-01-17 17:30:00,105079.0,105079.0,104781.0,105023.0
2025-01-17 18:00:00,105060.0,105060.0,104110.0,104110.0
2025-01-17 18:30:00,104135.0,104696.0,104135.0,104696.0
2025-01-17 19:00:00,104656.0,104968.0,104656.0,104963.0
2025-01-17 19:30:00,104870.0,105740.0,104826.0,105740.0
2025-01-17 20:00:00,105431.0,105850.0,105270.0,105850.0
2025-01-17 20:30:00,105651.0,105651.0,105366.0,105366.0
2025-01-17 21:00:00,105360.0,105360.0,104936.0,104994.0
2025-01-17 21:30:00,104721.0,105020.0,104628.0,105020.0
2025-01-17 22:00:00,105030.0,105030.0,104580.0,104580.0
2025-01-17 22:30:00,104604.0,104681.0,104436.0,104495.0
2025-01-17 23:00:00,104640.0,104686.0,104341.0,104534.0
2025-01-17 23:30:00,104348.0,104487.0,104348.0,104487.0
2025-01-18 00:00:00,104492.0,104492.0,104161.0,104161.0
2025-01-18 00:30:00,104125.0,104445.0,104125.0,104298.0
2025-01-18 01:00:00,104259.0,104637.0,104259.0,104588.0
2025-01-18 01:30:00,104649.0,104649.0,104410.0,104548.0
2025-01-18 02:00:00,104658.0,104658.0,104192.0,104271.0
2025-01-18 02:30:00,104302.0,104500.0,104302.0,104475.0
2025-01-18 03:00:00,104452.0,104454.0,104358.0,104358.0
2025-01-18 03:30:00,104270.0,104464.0,104197.0,104197.0
2025-01-18 04:00:00,104213.0,104241.0,102895.0,103558.0
2025-01-18 04:30:00,103595.0,103658.0,102739.0,102739.0
2025-01-18 05:00:00,102958.0,103451.0,102958.0,103414.0
2025-01-18 05:30:00,103572.0,103717.0,103329.0,103701.0
2025-01-18 06:00:00,103648.0,103648.0,103351.0,103380.0
2025-01-18 06:30:00,102722.0,103272.0,102722.0,103175.0
2025-01-18 07:00:00,103125.0,103555.0,103046.0,103533.0
2025-01-18 07:30:00,103404.0,103404.0,102939.0,103124.0
2025-01-18 08:00:00,103183.0,103183.0,102594.0,102778.0
2025-01-18 08:30:00,102482.0,102574.0,102214.0,102347.0
2025-01-18 09:00:00,102661.0,103309.0,102661.0,103309.0
2025-01-18 09:30:00,103222.0,103292.0,103159.0,103179.0
2025-01-18 10:00:00,103434.0,103434.0,103022.0,103164.0
2025-01-18 10:30:00,103131.0,103131.0,102827.0,102889.0
2025-01-18 11:00:00,103152.0,103199.0,102882.0,103199.0
2025-01-18 11:30:00,103119.0,103190.0,102915.0,103190.0
2025-01-18 12:00:00,103261.0,103673.0,103226.0,103551.0
2025-01-18 12:30:00,103518.0,103877.0,103488.0,103877.0
2025-01-18 13:00:00,103555.0,103555.0,103350.0,103523.0
2025-01-18 13:30:00,103386.0,103386.0,103162.0,103366.0
2025-01-18 14:00:00,103464.0,103845.0,103464.0,103817.0
2025-01-18 14:30:00,104264.0,104388.0,104134.0,104388.0
2025-01-18 15:00:00,104128.0,104128.0,103803.0,103956.0
2025-01-18 15:30:00,103964.0,104140.0,103720.0,104128.0
2025-01-18 16:00:00,104226.0,104839.0,104226.0,104839.0
