timestamp,price,market_cap,volume
2024-02-02,43069.043420936796,844585195327.6586,22443682768.722225
2024-02-03,43170.65856159975,846561992602.431,18624791426.130833
2024-02-04,42976.84829990829,842668526994.8004,7779819312.310763
2024-02-05,42599.35997055978,835416357159.2295,11250814654.362
2024-02-06,42648.45692113544,836630860392.2917,18682275991.626797
2024-02-07,43087.78740814285,845393687725.6221,17131113853.23615
2024-02-08,44247.415415479314,868672050077.7697,21200879624.73537
2024-02-09,45338.271189789484,890468166608.419,27709605138.49859
2024-02-10,47143.24299107112,925541926938.6151,41993952311.122856
2024-02-11,47768.995251247936,938210772985.4427,16461159742.317774
2024-02-12,48189.88179303987,945579645769.01,13196875460.84672
2024-02-13,50050.13609456397,981463410832.9637,37684440686.70893
2024-02-14,49732.14536955351,974585308372.1277,37331081151.024765
2024-02-15,51790.16929752642,1017596576729.7906,41805076939.80903
2024-02-16,51958.23029105492,1020725811639.5323,31991869491.056656
2024-02-17,52166.43430976192,1024019280535.48,24850432117.896576
2024-02-18,51684.51749264525,1015778284418.9253,19851884283.15723
2024-02-19,52138.48578873693,1023586119011.2284,17025880430.565874
2024-02-20,51764.313185487765,1016146442771.5667,22555121071.55909
2024-02-21,52286.79372554667,1026424315285.75,34499627551.319275
2024-02-22,51842.75676625642,1018869881156.3213,30624246621.0974
2024-02-23,51319.500125702674,1007314397269.4122,23733644208.80861
2024-02-24,50841.081094770896,999139504635.63,22637679779.740997
2024-02-25,51553.096712831146,1012485917140.1924,15528276123.53668
2024-02-26,51751.884054934555,1016549456019.3263,15455098216.48263
2024-02-27,54478.191083122954,1071049856128.8474,35407941475.56789
2024-02-28,57003.52673730811,1118963733317.3013,51983799587.1939
2024-02-29,62558.58202419311,1225273849241.6978,87218855804.01622
2024-03-01,61298.216861101624,1206725326872.1362,67692687247.36391
2024-03-02,62426.64052919186,1227712629022.1812,36699193361.155365
2024-03-03,62067.86680212177,1219383305483.4985,25198213831.25236
2024-03-04,63053.10543906421,1236312176673.4497,27108369390.44353
2024-03-05,68186.64593432152,1333913436699.1726,74551714626.1156
2024-03-06,64291.536557569496,1264870242318.5977,96403762012.66058
2024-03-07,66145.91927850846,1297845751759.601,73151905042.04068
2024-03-08,66944.87639053575,1317508010581.0813,48853892626.0196
2024-03-09,68315.25192078314,1340971395884.519,63346588227.32869
2024-03-10,68508.0039626159,1346027264110.4956,21359706190.81524
2024-03-11,69075.66688195744,1357390358031.5388,36660543917.16198
2024-03-12,72130.55300765681,1417772589113.9521,66653067165.93465
2024-03-13,71467.17350326062,1403692914139.1924,64599341551.27301
2024-03-14,73097.76702694128,1436631290571.5388,51906601043.53671
2024-03-15,71420.03180142345,1403843488135.24,63073551321.74747
2024-03-16,69497.7631929463,1367669237527.8738,81204427005.22603
2024-03-17,65292.31329331289,1282404282863.459,49265436012.59228
2024-03-18,68425.41565643054,1344508983079.8567,47190980586.56393
2024-03-19,67708.94360930806,1331771923948.0378,51101822566.75771
2024-03-20,62132.51737873437,1223867418062.399,80179417876.47993
2024-03-21,67819.05570684028,1332594162507.5205,70836803714.91411
2024-03-22,65535.97844847657,1287348061971.4202,48393664548.05336
2024-03-23,63509.04496523133,1247366367469.2778,42436600223.53738
2024-03-24,64285.80279102199,1264722355270.5166,25489933245.687557
2024-03-25,67310.98326810106,1323456466317.511,28098318940.431744
2024-03-26,69938.94530200244,1371797489739.3416,44820310272.647514
2024-03-27,70082.05122475982,1375728580463.2524,36257324508.56845
2024-03-28,69435.75040305211,1360261687784.1018,41441040887.822266
2024-03-29,70710.19534863312,1390869723348.0437,30455289338.47621
2024-03-30,69919.05546148612,1374646886107.8396,25785951735.485695
2024-03-31,69702.3087473573,1370247487960.0945,16408802301.837431
2024-04-01,71246.95144060145,1401370211582.3662,19723005998.21497
2024-04-02,69785.92503802372,1373784286061.3486,36040088988.53872
2024-04-03,65440.41922587159,1288360536576.547,45161133992.09071
2024-04-04,66123.938539074,1301670235623.7266,35559952961.797325
2024-04-05,68542.17715279506,1348455954443.3696,37516850709.63811
2024-04-06,67978.61023408506,1337452583876.3916,35132808695.80448
2024-04-07,69000.6499164776,1358548956714.7139,19119438138.850826
2024-04-08,69401.97360911008,1367272232852.0764,17935478429.01022
2024-04-09,71624.18486236996,1410324678268.6392,33111949671.02105
2024-04-10,69158.64381207665,1361830648708.6648,36488482038.859055
2024-04-11,70527.88997578963,1387722485989.3584,38378062633.13138
2024-04-12,70106.66413070948,1379324055321.196,30118549149.510498
2024-04-13,67252.10504226631,1321648247460.1611,43471949726.09197
2024-04-14,64404.82548907413,1270009515097.3306,49214481480.20075
2024-04-15,65752.66004728881,1293286386553.3967,40292911692.95434
2024-04-16,63430.5714573684,1247928896840.997,42796604938.03423
2024-04-17,63720.501587480736,1253670904297.4917,42157169474.39519
2024-04-18,61328.89798860725,1207185042484.4346,41123362075.93534
2024-04-19,63461.592695107174,1249565911947.3347,35901618166.42319
2024-04-20,63988.818471785664,1263308149913.607,52227787323.81757
2024-04-21,64894.41869109179,1277940837359.7852,16601830590.687477
2024-04-22,64936.4207567739,1279763566407.3762,19592118541.18973
2024-04-23,66841.66685207361,1317058642854.2856,27748586313.20611
2024-04-24,66406.95244392671,1306843409278.049,23232230785.201836
2024-04-25,64279.51812857524,1265541377860.928,30939903322.025898
2024-04-26,64486.183359158975,1269387456067.624,24705345525.57077
2024-04-27,63802.330049258766,1255539337969.4697,23302057197.884678
2024-04-28,63517.248743409626,1249495302303.4912,19190483386.063873
2024-04-29,63030.433616681854,1240724751365.882,16180294651.046635
