timestamp,price,7d_ma,30d_ma,price_change
2024-10-22 00:15:13.308,2665.8013460110774,2672.8177897556307,2704.3786935239614,-0.19001812436467702
2024-10-22 01:20:57.080,2634.997520144067,2668.025692385163,2702.177382464463,-1.155518430249991
2024-10-22 02:12:37.642,2653.716864920292,2665.2286223203255,2700.602564418478,0.7104122350445996
2024-10-22 03:13:58.605,2637.8926306467333,2659.5503022908442,2698.0911236998277,-0.5963045448721616
2024-10-22 04:12:36.817,2639.7426541451546,2654.4464777372827,2695.467993481785,0.07013263075714704
2024-10-22 05:16:37.089,2645.258777206961,2649.7551840722967,2692.230114200763,0.20896442511715296
2024-10-22 06:20:38.322,2650.3702612912166,2646.8257220522146,2689.0012627199103,0.19323191093056913
2024-10-22 07:20:00.917,2652.87934581558,2644.9797220242867,2685.9102509955733,0.0946692075823874
2024-10-22 08:19:50.615,2643.5347012998773,2646.199319332259,2682.5565506442817,-0.3522453642847423
2024-10-22 09:01:59.501,2629.4030866915805,2642.725922442444,2679.135836765897,-0.534572691682389
2024-10-22 10:18:31.739,2622.965884628184,2640.593530154079,2675.4413672959618,-0.24481609898373557
2024-10-22 11:04:18.265,2631.4164219972845,2639.4040684186693,2671.9047734520923,0.32217488678081274
2024-10-22 12:17:09.031,2637.44366103974,2638.2876232519234,2668.671064984068,0.22904922961151097
2024-10-22 13:16:24.720,2621.44765512795,2634.1558223714565,2665.3050542553688,-0.6064965916839471
2024-10-22 14:13:57.472,2629.467753652105,2630.811309205246,2662.089196716448,0.30594158569088314
2024-10-22 15:13:55.407,2635.0119951873185,2629.5937797605948,2659.446694974275,0.2108503337800327
2024-10-22 16:20:37.789,2624.8966877467847,2628.950008482767,2656.5928225775087,-0.38388088779135465
2024-10-22 17:04:02.534,2606.2983481176666,2626.568931838407,2653.3921431649437,-0.708536062235765
2024-10-22 18:17:35.678,2623.069038693384,2625.3764485092784,2650.556265317799,0.6434677974541669
2024-10-22 19:08:00.140,2620.2580604623367,2622.9213627125064,2648.231809058784,-0.10716371508266986
2024-10-22 20:02:23.626,2627.348441894834,2623.764332250633,2646.55833782557,0.2705985925388621
2024-10-22 21:02:37.791,2632.674777964662,2624.222478580998,2645.305022968288,0.2027266724464738
2024-10-22 22:01:15.216,2634.46952341613,2624.1449826136854,2643.800145784886,0.06817193929495868
2024-10-22 23:05:34.180,2638.714988517275,2626.1190255808983,2642.766786963218,0.16115066290991464
2024-10-23 00:11:16.082,2619.4949654770435,2628.0042566322377,2641.1318790878745,-0.7283857151632489
2024-10-23 01:18:16.091,2615.28189991548,2626.891808235395,2639.198063905919,-0.16083503183202952
2024-10-23 02:01:10.283,2620.4621661800825,2626.9209661950727,2637.2921070834846,0.19807678341556834
2024-10-23 03:19:08.241,2612.7382511417977,2624.8337960874956,2635.201067920875,-0.294753923104496
2024-10-23 04:08:25.590,2617.761400753457,2622.7033136287523,2633.1898535172613,0.19225613623807813
2024-10-23 05:15:53.406,2614.447885733958,2619.8430796741563,2631.308899860667,-0.1265781907604402
2024-10-23 06:16:38.559,2616.9428691988755,2616.732776914385,2629.6802839669267,0.09543060615326837
